,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ALL_NBA_TEAM_NUMBER,NAME
0,1630602,2022,0,1610612747,LAL,23.0,2,0,21.0,1,7,0.143,0,3,0.0,0,0,0.0,0.0,2.0,2.0,0,0.0,0.0,1.0,0,2,0,Chaundee Brown Jr.
1,1630602,2022,0,1610612737,ATL,23.0,3,2,83.0,9,25,0.36,6,15,0.4,5,6,0.833,1.0,13.0,14.0,4,2.0,0.0,0.0,7,29,0,Chaundee Brown Jr.
2,1630602,2022,0,0,TOT,23.0,5,2,104.0,10,32,0.313,6,18,0.333,5,6,0.833,1.0,15.0,16.0,4,2.0,0.0,1.0,7,31,0,Chaundee Brown Jr.
0,1628972,2019,0,1610612764,WAS,19.0,52,10,730.0,97,234,0.415,22,69,0.319,32,47,0.681,35.0,110.0,145.0,80,21.0,5.0,30.0,56,248,0,Troy Brown Jr.
1,1628972,2020,0,1610612764,WAS,20.0,69,22,1782.0,273,622,0.439,61,179,0.341,109,139,0.784,76.0,307.0,383.0,178,85.0,7.0,79.0,132,716,0,Troy Brown Jr.
2,1628972,2021,0,1610612764,WAS,21.0,21,0,287.0,33,89,0.371,14,46,0.304,10,15,0.667,11.0,50.0,61.0,19,3.0,4.0,16.0,29,90,0,Troy Brown Jr.
3,1628972,2021,0,1610612741,CHI,21.0,13,0,237.0,29,55,0.527,8,24,0.333,5,6,0.833,9.0,35.0,44.0,10,7.0,2.0,5.0,20,71,0,Troy Brown Jr.
4,1628972,2021,0,0,TOT,21.0,34,0,523.0,62,144,0.431,22,70,0.314,15,21,0.714,20.0,85.0,105.0,29,10.0,6.0,21.0,49,161,0,Troy Brown Jr.
5,1628972,2022,0,1610612741,CHI,22.0,66,7,1055.0,108,258,0.419,47,133,0.353,20,26,0.769,39.0,164.0,203.0,66,36.0,5.0,26.0,62,283,0,Troy Brown Jr.
6,1628972,2023,0,1610612747,LAL,23.0,76,45,1860.0,200,465,0.43,107,281,0.381,34,39,0.872,62.0,246.0,308.0,95,59.0,16.0,49.0,120,541,0,Troy Brown Jr.
7,1628972,2024,0,1610612750,MIN,24.0,16,2,232.0,24,59,0.407,14,40,0.35,17,20,0.85,11.0,32.0,43.0,12,5.0,2.0,8.0,13,79,0,Troy Brown Jr.
0,1628973,2019,0,1610612742,DAL,22.0,73,38,1591.0,264,565,0.467,63,181,0.348,87,120,0.725,25.0,144.0,169.0,230,37.0,4.0,88.0,127,678,0,Jalen Brunson
1,1628973,2020,0,1610612742,DAL,23.0,57,16,1022.0,181,388,0.466,43,120,0.358,61,75,0.813,22.0,112.0,134.0,188,22.0,4.0,66.0,74,466,0,Jalen Brunson
2,1628973,2021,0,1610612742,DAL,24.0,68,12,1697.0,328,627,0.523,81,200,0.405,120,151,0.795,27.0,204.0,231.0,239,35.0,1.0,80.0,109,857,0,Jalen Brunson
3,1628973,2022,0,1610612742,DAL,25.0,79,61,2524.0,506,1008,0.502,94,252,0.373,179,213,0.84,43.0,266.0,309.0,377,66.0,3.0,124.0,151,1285,0,Jalen Brunson
4,1628973,2023,0,1610612752,NYK,26.0,68,68,2379.0,587,1195,0.491,134,322,0.416,325,392,0.829,40.0,201.0,241.0,421,61.0,15.0,142.0,152,1633,0,Jalen Brunson
5,1628973,2024,0,1610612752,NYK,27.0,20,20,710.0,179,384,0.466,63,138,0.457,77,95,0.811,13.0,61.0,74.0,111,20.0,1.0,40.0,42,498,0,Jalen Brunson
0,1594,1998,0,1610612757,POR,26.0,38,10,622.0,49,141,0.348,22,61,0.361,42,62,0.677,14.0,42.0,56.0,100,25.0,3.0,52.0,55,162,0,Rick Brunson
1,1594,1999,0,1610612752,NYK,27.0,17,0,95.0,6,21,0.286,0,5,0.0,5,18,0.278,3.0,7.0,10.0,19,9.0,0.0,12.0,8,17,0,Rick Brunson
2,1594,2000,0,1610612752,NYK,28.0,37,0,289.0,29,70,0.414,2,13,0.154,11,18,0.611,3.0,24.0,27.0,49,9.0,1.0,31.0,35,71,0,Rick Brunson
